,year,ticket_sold_1000,total_gross,num_screens,avg_ticket_price,num_new_released,country,to_usd,total_gross_usd,avg_ticket_price_usd
0,2008,160491.0,194836000000,3359,1214.0,806,Japan,103.359,1885041457.0,11.75
1,2009,169297.0,206035000000,3396,1217.0,762,Japan,93.57,2201934381.0,13.01
2,2010,174358.0,220737000000,3412,1266.0,716,Japan,87.78,2514661654.0,14.42
3,2011,144726.0,181197000000,3339,1252.0,799,Japan,79.807,2270439936.0,15.69
4,2012,155159.0,195190000000,3290,1258.0,983,Japan,79.79,2446296528.0,15.77
5,2013,155888.0,194237000000,3318,1246.0,1117,Japan,97.596,1990214763.0,12.77
6,2014,161116.0,207034000000,3364,1285.0,1184,Japan,105.945,1954164897.0,12.13
7,2015,166630.0,217119000000,3437,1303.0,1136,Japan,121.044,1793719639.0,10.76
8,2016,180189.0,235508000000,3472,1307.0,1149,Japan,108.793,2164734863.0,12.01
9,2017,174483.0,228572000000,3525,1310.0,1187,Japan,112.166,2037801116.0,11.68
10,2008,147428.6,961453297251,2004,6494.0,380,South Korea,1102.047,872424949.0,5.89
11,2009,155398.7,1083196004950,2055,6970.0,361,South Korea,1276.93,848281429.0,5.46
12,2010,147759.2,1157254738250,2003,7834.0,426,South Korea,1156.061,1001032591.0,6.78
13,2011,159724.5,1235799464200,1974,7737.0,439,South Korea,1108.292,1115048619.0,6.98
14,2012,194890.6,1455140354435,2081,7466.0,631,South Korea,1126.471,1291769033.0,6.63
15,2013,213351.0,1551351984721,2184,7271.0,905,South Korea,1094.853,1416950024.0,6.64
16,2014,215069.0,1664232549160,2281,7738.0,1095,South Korea,1052.961,1580526296.0,7.35
17,2015,217299.5,1715501571678,2424,7895.0,1176,South Korea,1131.158,1516588816.0,6.98
18,2016,217026.2,1743194424370,2575,8032.0,578,South Korea,1160.433,1502193082.0,6.92
19,2017,219873.2,1756559277013,2766,7989.0,620,South Korea,1130.425,1553892808.0,7.07
20,2008,1358041.4,9750739371,38834,7.18,607,United States,1.0,9750739371.0,7.18
21,2009,1418600.5,10639505449,39233,7.5,521,United States,1.0,10639505449.0,7.5
22,2010,1328503.6,10481895548,39520,7.89,537,United States,1.0,10481895548.0,7.89
23,2011,1284605.9,10186927389,39580,7.93,602,United States,1.0,10186927389.0,7.93
24,2012,1385367.7,11027529757,39662,7.96,668,United States,1.0,11027529757.0,7.96
25,2013,1339874.3,10893180888,40024,8.13,689,United States,1.0,10893180888.0,8.13
26,2014,1257388.1,10272864049,39956,8.17,706,United States,1.0,10272864049.0,8.17
27,2015,1323314.9,11155547804,40006,8.43,705,United States,1.0,11155547804.0,8.43
28,2016,1301644.2,11259225977,40174,8.65,736,United States,1.0,11259225977.0,8.65
29,2017,1225308.2,10992920296,40393,8.97,729,United States,1.0,10992920296.0,8.97
